"tx size","size fee (IOV)","price increase compared to anti spam"
424704,359.0095,719.0190
424960,359.4435,719.8869
425216,359.8777,720.7554
425472,360.3122,721.6244
425728,360.7470,722.4940
425984,361.1820,723.3640
426240,361.6173,724.2346
426496,362.0528,725.1057
426752,362.4887,725.9773
427008,362.9247,726.8495
427264,363.3611,727.7222
427520,363.7977,728.5954
427776,364.2345,729.4691
428032,364.6717,730.3433
428288,365.1091,731.2181
428544,365.5467,732.0934
428800,365.9846,732.9692
429056,366.4228,733.8456
429312,366.8612,734.7224
429568,367.2999,735.5998
429824,367.7389,736.4778
430080,368.1781,737.3562
430336,368.6176,738.2352
430592,369.0573,739.1147
430848,369.4973,739.9947
431104,369.9376,740.8752
431360,370.3781,741.7563
431616,370.8189,742.6379
431872,371.2600,743.5200
432128,371.7013,744.4026
432384,372.1429,745.2858
432640,372.5847,746.1695
432896,373.0268,747.0537
433152,373.4692,747.9384
433408,373.9118,748.8237
433664,374.3547,749.7095
433920,374.7979,750.5958
434176,375.2413,751.4826
434432,375.6850,752.3700
434688,376.1289,753.2579
434944,376.5731,754.1463
435200,377.0176,755.0352
435456,377.4623,755.9247
435712,377.9073,756.8146
435968,378.3526,757.7051
436224,378.7981,758.5962
436480,379.2439,759.4877
436736,379.6899,760.3798
436992,380.1362,761.2724
437248,380.5828,762.1655
437504,381.0296,763.0592
437760,381.4767,763.9533
438016,381.9240,764.8480
438272,382.3716,765.7433
438528,382.8195,766.6390
438784,383.2676,767.5353
439040,383.7160,768.4321
439296,384.1647,769.3294
439552,384.6136,770.2272
439808,385.0628,771.1256
440064,385.5122,772.0245
440320,385.9620,772.9239
440576,386.4119,773.8238
440832,386.8622,774.7243
441088,387.3126,775.6253
441344,387.7634,776.5268
441600,388.2144,777.4288
441856,388.6657,778.3314
442112,389.1172,779.2345
442368,389.5691,780.1381
442624,390.0211,781.0422
442880,390.4734,781.9469
443136,390.9260,782.8521
443392,391.3789,783.7578
443648,391.8320,784.6640
443904,392.2854,785.5708
444160,392.7390,786.4781
444416,393.1929,787.3859
444672,393.6471,788.2942
444928,394.1015,789.2030
445184,394.5562,790.1124
445440,395.0112,791.0223
445696,395.4664,791.9328
445952,395.9219,792.8437
446208,396.3776,793.7552
446464,396.8336,794.6672
446720,397.2898,795.5797
446976,397.7464,796.4927
447232,398.2032,797.4063
447488,398.6602,798.3204
447744,399.1175,799.2350
448000,399.5751,800.1502
448256,400.0329,801.0658
448512,400.4910,801.9820
448768,400.9494,802.8988
449024,401.4080,803.8160
449280,401.8669,804.7338
449536,402.3260,805.6521
449792,402.7854,806.5709
450048,403.2451,807.4902
450304,403.7050,808.4101
450560,404.1652,809.3305
450816,404.6257,810.2514
451072,405.0864,811.1728
451328,405.5474,812.0948
451584,406.0086,813.0173
451840,406.4701,813.9403
452096,406.9319,814.8638
452352,407.3939,815.7879
452608,407.8562,816.7124
452864,408.3188,817.6375
453120,408.7816,818.5632
453376,409.2447,819.4893
453632,409.7080,820.4160
453888,410.1716,821.3432
454144,410.6355,822.2709
454400,411.0996,823.1992
454656,411.5640,824.1280
454912,412.0286,825.0573
455168,412.4935,825.9871
455424,412.9587,826.9174
455680,413.4242,827.8483
455936,413.8899,828.7797
456192,414.3558,829.7116
456448,414.8220,830.6441
456704,415.2885,831.5770
456960,415.7553,832.5105
457216,416.2223,833.4446
457472,416.6896,834.3791
457728,417.1571,835.3142
457984,417.6249,836.2498
458240,418.0929,837.1859
458496,418.5613,838.1225
458752,419.0298,839.0597
459008,419.4987,839.9974
459264,419.9678,840.9356
459520,420.4372,841.8743
459776,420.9068,842.8136
460032,421.3767,843.7534
460288,421.8468,844.6937
460544,422.3173,845.6345
460800,422.7879,846.5759
461056,423.2589,847.5178
461312,423.7301,848.4602
461568,424.2016,849.4031
461824,424.6733,850.3466
462080,425.1453,851.2905
462336,425.6175,852.2350
462592,426.0900,853.1801
462848,426.5628,854.1256
463104,427.0359,855.0717
463360,427.5092,856.0183
463616,427.9827,856.9654
463872,428.4565,857.9131
464128,428.9306,858.8613
464384,429.4050,859.8100
464640,429.8796,860.7592
464896,430.3545,861.7089
465152,430.8296,862.6592
465408,431.3050,863.6100
465664,431.7807,864.5613
465920,432.2566,865.5132
466176,432.7328,866.4655
466432,433.2092,867.4184
466688,433.6859,868.3718
466944,434.1629,869.3258
467200,434.6401,870.2803
467456,435.1176,871.2352
467712,435.5954,872.1908
467968,436.0734,873.1468
468224,436.5517,874.1034
468480,437.0302,875.0604
468736,437.5090,876.0181
468992,437.9881,876.9762
469248,438.4674,877.9349
469504,438.9470,878.8940
469760,439.4269,879.8538
470016,439.9070,880.8140
470272,440.3874,881.7747
470528,440.8680,882.7360
470784,441.3489,883.6978
471040,441.8301,884.6602
471296,442.3115,885.6230
471552,442.7932,886.5864
471808,443.2751,887.5503
472064,443.7574,888.5147
472320,444.2398,889.4797
472576,444.7226,890.4452
472832,445.2056,891.4112
473088,445.6888,892.3777
